评估要素,睿芯微,多感科技,Tiilab
技术路线,高光谱成像+AI,近红外光谱,未明确
检测原理,血管实时成像,光谱吸收（O-H/C-H基团）,未明确
光谱范围,可见光+近红外,780-2500nm（重点900-1750nm）,未明确
传感器类型,高光谱CIS,硅基分光芯片+InGaAs,未明确
通道/维度,图像+光谱（高维）,112通道光谱,未明确
AI架构,MoE Transformer,未明确,未明确
MARD,8.39%,未提供,目标~15%
MARD评价,优秀,未知,未知
ISO 15167 Zone A,96.66%,未验证,未验证
ISO 15167 Zone A+B,100%,未验证,未验证
ISO 15167评价,完美达标,未知,未知
临床验证状态,已完成（N=30,809点）,仅动物实验,无数据
临床机构,北京大学第一医院,大学（未明确）,无
产品阶段,临床阶段,原型开发阶段,未明确
检测方式,无创,无创,无创
侵入性,无,无,无
实时性,近实时（~5分钟延迟）,未明确,未明确
使用寿命,多年,未明确,未明确
一次性耗材,无,无,无
扩展能力-当前,血糖监测,血糖监测,未明确
扩展能力-研发中,血脂/肌酐/尿酸/健康管理,无,无
扩展能力-探索中,Tau蛋白/炎症指标,其他光谱范围,无
扩展能力评价,强,弱,未知
知识产权数量,27项专利,未披露,未披露
知识产权覆盖,全球布局,无,无
商业模式,B2B/B2B2C/技术授权,未明确,未明确
目标用户,T2D+健康人群,未明确,未明确
量产工艺,未明确,8吋硅光工艺,未明确
量产能力,未明确,易于量产转移,未明确
成本控制,未知,潜力大,未知
预计认证时间,2028-2029E,未规划,未明确
综合评分,5/5,2/5,1/5
推荐等级,首选方案,谨慎观察,不推荐
推荐置信度,高,低,极低
主要优势,临床验证完整/性能优秀/扩展能力强/IP完善,工艺成熟/成本潜力大,无创检测
主要劣势,认证周期长/成本高/竞争激烈,无验证/阶段太早/算法不明,信息不足
下一步行动,安排技术交流,跟踪2026 Q1 Demo,需要详细文档
