Project,Block,Module,Part,Issue,Design Element,Design Factor,评审主体,评审对象,审核项,审核项状态,评审项更新者,Phase,Reviewer,Status,Notes,Quantization Status
X:Pike,1.Platform,Platform,,,,,1.Mainboard,1.SCH,确认各Sku使用的套片型号正确（比如是否支持mmw）,适用,陈文亭,EVB,陈文亭,Pass, 同Aviator，没有更改。,1
X:Pike,1.Platform,Platform,,,,,1.Mainboard,4.Routing,"各个reset关键信号都要包好地包括QC 平台 SM_RESIN_N&SM_PS_HOLD等 ，MTK平台的SYSRSTB, WATCHDOG等 ",适用,陈文亭,EVB,陈文亭,Pass, 同Aviator，没有更改,
X:Pike,1.Platform,GPIO,,,,,1.Mainboard,1.SCH,中断口选择是否合适,适用,陈文亭,EVB,陈文亭,Pass,,1
X:Pike,1.Platform,GPIO,,,,,1.Mainboard,1.SCH,高通平台：boot mode的 GPIO 需要确认没有上拉.,适用,陈文亭,EVB,陈文亭,Pass, 同Aviator，没有更改,1
X:Pike,1.Platform,GPIO,,,,,1.Mainboard,1.SCH, 确认具体的boot 配置是正确的（特别针对emmc 和UFS 各版本配置，DDR 相关的各种配置。）,适用,陈文亭,EVB,陈文亭,Pass, 同Aviator，没有更改,
X:Pike,1.Platform,GPIO,,,,,1.Mainboard,1.SCH,QC 平台Smart PA使用的I2S 需要接到 Sensor hub上（基于低功耗及SW默认架构考量）,适用,陈文亭,EVB,陈文亭,Pass, 同Aviator，没有更改,
X:Pike,1.Platform,GPIO,,,,,1.Mainboard,3.Placement,Uart test point 放在容易拆机的一面（第一步拆屏的，放到TOP面；第一步拆电池盖的，放到Bottom面）,适用,陈文亭,EVB,陈文亭,Pass, 同Aviator，没有更改,1
X:Pike,1.Platform,GPIO,,,,,1.Mainboard,4.Routing,AP &  PMIC 通讯路线走线符合要求,适用,陈文亭,EVB,陈文亭,Pass, 同Aviator，没有更改,1
X:Pike,1.Platform,SIM卡座,,,,,1.Mainboard,1.SCH,"SIM卡座的卡1和卡2（主副卡）连线：1.要和卡托设计一致
2.并且和CPU的卡1卡2对应",适用,李果,EVB,李果,Working,,
X:Pike,1.Platform,SIM卡座,,,,,2.Sub-Board,1.SCH,TVS使用小于等于11pf,适用,李果,EVB,廖哲霖,Working,,
X:Pike,1.Platform,SIM卡座,,,,,1.Mainboard,1.SCH,INT/DATA 是否外加上拉电阻（QC需要外部加上拉电阻，MTK 不需要）,适用,李果,EVB,李果,Working,,
X:Pike,1.Platform,SIM卡座,,,,,1.Mainboard,4.Routing,原理图设计时，无特殊需求（如NFC）的SIM卡设计，VPP引脚可不用连接。,适用,李果,EVB,李果,Working,,
X:Pike,1.Platform,SIM卡座,,,,,1.Mainboard,6.Others(ME/RF/ANT/KP/Factory),上下层SIM卡座，注意SIM卡座泡棉接地，SIM弹点避免和ANT 要求的接地泡棉短路风险,适用,李果,EVB,李果,Working,,
X:Pike,1.Platform,SIM卡座,,,,,1.Mainboard,4.Routing,SIM卡的pin 顺序检查：（1）需要拿到SIM 规格书，卡托规格书，再核对PCB 对应的每一个Pin 是否和SIM 卡pin 顺序一致,适用,李果,EVB,李果,Working,,
X:Pike,1.Platform,SIM卡座,,,,,1.Mainboard,1.SCH,是否存在Psim 和ESIM 兼容？检查兼容设计电路是否存在干扰风险？,适用,李果,EVT,李果,Working,,
X:Pike,1.Platform,SIM卡座,,,,,1.Mainboard,4.Routing,SIM卡的pin 顺序检查：（1）卡托开口方向，需要和ME（剑平）确认，是否方向一致,适用,李果,EVT,李果,Working,,
X:Pike,1.Platform,keypad,,ESD,,,1.Mainboard,1.SCH,按键线路串1k电阻，电阻尽量靠近按键实体放置。,适用,李果,EVB,陈文亭,Pass, 同Aviator，没有更改,1
X:Pike,1.Platform,keypad,,ESD,,,1.Mainboard,1.SCH,按键信号必须预留TVS，紧靠按键实体放置，走线置于干路上。走线不与其它敏感线路相邻。,适用,李果,EVB,陈文亭,Pass, 同Aviator，没有更改,1
X:Pike,1.Platform,CLK,,,,,1.Mainboard,4.Routing,PMIC 给各个模块 的clock，走线上下左右包地,适用,陈文亭,EVB,陈文亭,Pass, 同Aviator，没有更改,1
X:Pike,1.Platform,System,,单端网络,,,1.Mainboard,1.SCH,"原理图信号单端网络检查,发板前需要从PCB导出netlist，核对单端网络，特别针对带_1,_2等后缀net核对是否连接正确",适用,吴学敏,EVB,熊胜男,Working,,
X:Pike,1.Platform,System,Main FPC,,,,3.Main FPC,4.Routing,实物顺序匹配 pin顺序与主板、小板匹配，走线通顺，宽度适宜（cost）,适用,陈文亭,EVB,范南,Working,,
X:Pike,1.Platform,System,Main FPC,,,,3.Main FPC,4.Routing,FPC要预留露铜区域，与主钢板形成良好接触,适用,李果,EVB,范南,Working,,
X:Pike,1.Platform,System,Main FPC,,,,3.Main FPC,4.Routing,FPC钢板补强，需要与FPC的GND做到良好接触；保证足够的开窗面积,适用,李果,EVB,范南,Working,,
X:Pike,1.Platform,System,Main FPC,,,,3.Main FPC,4.Routing,叠层确认：铜厚不低于18um（特殊项目需求单独评估）,适用,陈银川,EVB,陈银川,Working,,
X:Pike,1.Platform,System,Other FPC,,,,3.Main FPC,4.Routing,FPC SMT：大型连接器背部需要钢板补强，钢板接地良好。,适用,李果,EVB,范南,Working,,
X:Pike,1.Platform,System,Other FPC,,,,3.Main FPC,4.Routing,FPC SMT：贴片IC背部尽量使用钢板补强，钢板接地良好。,适用,李果,EVB,范南,Working,,
X:Pike,1.Platform,System,Other FPC,,,,3.Main FPC,4.Routing,FPC SMT：BGA及0201器件推荐点胶,适用,李果,EVB,范南,Working,,
X:Pike,1.Platform,System,Other FPC,,,,3.Main FPC,4.Routing,FPC转弯内角尽量大，避免装配撕裂。,适用,李果,EVB,范南,Working,,
X:Pike,1.Platform,I2C,,,,,1.Mainboard,1.SCH,I2C 上拉设计符合需求（内外部上拉至少有一个，如果内外部都有，要特别提醒SW关闭内部的上拉） 。有位置可以测试到I2C信号（测试点，上拉电阻，预留滤波电容都可以）,适用,陈文亭,EVB,陈文亭,Pass, 同Aviator，没有增加 i2C总线,1
X:Pike,1.Platform,System,Side Key FPC,,,,4.SideKey FPC,4.Routing,实物顺序匹配pin顺序与主板匹配,适用,陈文亭,EVB,陈文亭,Pass,EVT发FPC,1
